driver_id,driver_db_id,cycleRule,timezone,splitShiftActive,driveSeconds,onDutySeconds,cycleSeconds,remainingDriveMinutes,remainingShiftMinutes,breakRemainingMinutes,violation active,last7Days violation,violation patterns,last7Days pti_violations,pti_violation patterns,speed,latitude,longitude,Address,dataDate
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,492629,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-14 06:55:01.183
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,665427,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-15 11:31:54.759
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,579028,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-15 11:31:57.846
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1443018,0,0,0,0,[0],0,[],0,[],,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-11-24 16:00:23.136
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1356619,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 16:00:26.269
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,319831,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.113
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,406230,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.192
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,751826,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.493
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,838225,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.573
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,924624,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.649
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1011023,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.725
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1097422,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.807
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1183821,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.883
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1270220,0,0,0,0,[0],0,[],0,[],-121.748497,38.683246,-121.748497,"Woodland, CA",2025-11-24 23:35:18.959
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1615816,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-11-27 03:04:53.621
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1529417,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-11-27 03:04:56.473
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1702215,0,0,0,0,[0],0,[],0,[],-121.74762624412544,38.683128960816234,-121.74762624412544,"Woodland, CA",2025-11-27 08:00:23.367
